"inventoryItemId","productId","price"
"d56587c5-e36c-46aa-b761-51470ecab410","b051f2d3-b7f1-4b02-9771-86e4c9dac530","2999.00"
"d2725347-c061-4e74-a9fc-c03c55a02bf1","b051f2d3-b7f1-4b02-9771-86e4c9dac530","2999.00"
"aedd3405-2c5b-49f7-9f43-69668e27344e","b051f2d3-b7f1-4b02-9771-86e4c9dac530","2999.00"
"b8bc33b3-37c4-496d-9c25-5625a147f689","b051f2d3-b7f1-4b02-9771-86e4c9dac530","2999.00"
"88039bf5-6542-4aff-a564-b19b83e267e9","b051f2d3-b7f1-4b02-9771-86e4c9dac530","2999.00"
"64665b87-34d6-4d7c-809f-dd78be156a2f","b051f2d3-b7f1-4b02-9771-86e4c9dac530","2999.00"
"0e49698b-c198-4a41-8b5e-c8f6bbe770e5","0e49698b-c198-4a41-8b5e-c8f6bbe770e5","5499.00"
"59256799-1f77-4167-ae89-5fbf5560d64d","0e49698b-c198-4a41-8b5e-c8f6bbe770e5","5499.00"
"133959ff-faf3-4b3f-a22a-b54254f828bc","0e49698b-c198-4a41-8b5e-c8f6bbe770e5","5499.00"
"63baa62f-446e-4e82-8cc0-ab9d99e84f23","5ce3acda-79d6-448f-9388-fc05554eca02","879.99"
"34ee6eea-4345-47ec-99ad-bfb13acf10bd","5ce3acda-79d6-448f-9388-fc05554eca02","879.99"
"b342030d-3f39-416b-8d97-054924e26907","5ce3acda-79d6-448f-9388-fc05554eca02","879.99"
"78d733b8-f6b2-446c-90a6-41f5ab01dbb5","5ce3acda-79d6-448f-9388-fc05554eca02","879.99"
"dba4d38b-55e3-44da-b3cb-faad86e04619","5ce3acda-79d6-448f-9388-fc05554eca02","879.99"
"e6a17c2e-21eb-4448-b4ae-18570984784a","5ce3acda-79d6-448f-9388-fc05554eca02","879.99"
"3b697797-565c-4128-9c82-440185bbb3eb","3c48efc6-1698-442d-b982-836f0e2b77a5","1499.99"
"c76e93ba-368d-441d-82ba-1c019adda5a8","3c48efc6-1698-442d-b982-836f0e2b77a5","1499.99"
"0bf9eae9-b308-451f-a2cd-3206257b55b3","c8a22410-1b99-460f-a4d5-8ce3715efc6f","1599.99"
"999fb395-0d3a-4459-9490-50c02fcc3ae6","c8a22410-1b99-460f-a4d5-8ce3715efc6f","1599.99"
"e8d7dc60-fc5b-47dd-85ba-c14c06cca57f","c8a22410-1b99-460f-a4d5-8ce3715efc6f","1599.99"
"37522d22-68ff-46b4-bd5d-591a20caaa71","c8a22410-1b99-460f-a4d5-8ce3715efc6f","1599.99"
"d867bd82-4d1c-47e0-a91d-42649ffefcd8","742fa865-6052-42fa-bfed-0fc1d2b6bdda","749.99"
"ac2ec6d3-6fbc-48cd-af8b-f6447f81c5ab","742fa865-6052-42fa-bfed-0fc1d2b6bdda","749.99"
"14d76ced-545b-46b9-b44d-9a7c46424fcd","742fa865-6052-42fa-bfed-0fc1d2b6bdda","749.99"
"cc966605-49a4-483b-930b-f9ad4610226f","742fa865-6052-42fa-bfed-0fc1d2b6bdda","749.99"
"1a792a89-dc2f-4ea2-934a-f4ae1a4cd0d3","742fa865-6052-42fa-bfed-0fc1d2b6bdda","749.99"
"906be058-e8d3-4cc8-a207-7290aa747342","5985e75c-d0c0-4e4f-8b80-666a0ae1d06d","4035.00"
